Best parameters set found on development set:

{'alpha': 0.0001, 'hidden_layer_sizes': 12, 'max_iter': 1000, 'random_state': 0}
0.862 (+/-0.028) for {'alpha': 1e-06, 'hidden_layer_sizes': 11, 'max_iter': 1000, 'random_state': 1}
0.862 (+/-0.028) for {'alpha': 1e-06, 'hidden_layer_sizes': 11, 'max_iter': 2000, 'random_state': 0}
0.862 (+/-0.028) for {'alpha': 1e-06, 'hidden_layer_sizes': 11, 'max_iter': 2000, 'random_state': 1}
0.870 (+/-0.027) for {'alpha': 1e-06, 'hidden_layer_sizes': 12, 'max_iter': 1000, 'random_state': 0}
0.861 (+/-0.033) for {'alpha': 1e-06, 'hidden_layer_sizes': 12, 'max_iter': 1000, 'random_state': 1}
0.870 (+/-0.027) for {'alpha': 1e-06, 'hidden_layer_sizes': 12, 'max_iter': 2000, 'random_state': 0}
0.861 (+/-0.033) for {'alpha': 1e-06, 'hidden_layer_sizes': 12, 'max_iter': 2000, 'random_state': 1}
0.856 (+/-0.030) for {'alpha': 1e-06, 'hidden_layer_sizes': 13, 'max_iter': 1000, 'random_state': 0}
0.852 (+/-0.024) for {'alpha': 1e-06, 'hidden_layer_sizes': 13, 'max_iter': 1000, 'random_state': 1}
0.856 (+/-0.030) for {'alpha': 1e-06, 'hidden_layer_sizes': 13, 'max_iter': 2000, 'random_state': 0}
0.852 (+/-0.024) for {'alpha': 1e-06, 'hidden_layer_sizes': 13, 'max_iter': 2000, 'random_state': 1}
0.860 (+/-0.023) for {'alpha': 1e-06, 'hidden_layer_sizes': 14, 'max_iter': 1000, 'random_state': 0}
0.861 (+/-0.037) for {'alpha': 1e-06, 'hidden_layer_sizes': 14, 'max_iter': 1000, 'random_state': 1}
0.860 (+/-0.023) for {'alpha': 1e-06, 'hidden_layer_sizes': 14, 'max_iter': 2000, 'random_state': 0}
0.861 (+/-0.037) for {'alpha': 1e-06, 'hidden_layer_sizes': 14, 'max_iter': 2000, 'random_state': 1}
0.858 (+/-0.031) for {'alpha': 1e-07, 'hidden_layer_sizes': 5, 'max_iter': 1000, 'random_state': 0}
0.857 (+/-0.024) for {'alpha': 1e-07, 'hidden_layer_sizes': 5, 'max_iter': 1000, 'random_state': 1}
0.858 (+/-0.031) for {'alpha': 1e-07, 'hidden_layer_sizes': 5, 'max_iter': 2000, 'random_state': 0}
0.857 (+/-0.024) for {'alpha': 1e-07, 'hidden_layer_sizes': 5, 'max_iter': 2000, 'random_state': 1}
0.867 (+/-0.038) for {'alpha': 1e-07, 'hidden_layer_sizes': 6, 'max_iter': 1000, 'random_state': 0}
0.861 (+/-0.025) for {'alpha': 1e-07, 'hidden_layer_sizes': 6, 'max_iter': 1000, 'random_state': 1}
0.867 (+/-0.038) for {'alpha': 1e-07, 'hidden_layer_sizes': 6, 'max_iter': 2000, 'random_state': 0}
0.861 (+/-0.025) for {'alpha': 1e-07, 'hidden_layer_sizes': 6, 'max_iter': 2000, 'random_state': 1}
0.859 (+/-0.034) for {'alpha': 1e-07, 'hidden_layer_sizes': 7, 'max_iter': 1000, 'random_state': 0}
0.859 (+/-0.038) for {'alpha': 1e-07, 'hidden_layer_sizes': 7, 'max_iter': 1000, 'random_state': 1}
0.859 (+/-0.034) for {'alpha': 1e-07, 'hidden_layer_sizes': 7, 'max_iter': 2000, 'random_state': 0}
0.859 (+/-0.038) for {'alpha': 1e-07, 'hidden_layer_sizes': 7, 'max_iter': 2000, 'random_state': 1}
0.867 (+/-0.030) for {'alpha': 1e-07, 'hidden_layer_sizes': 8, 'max_iter': 1000, 'random_state': 0}
0.855 (+/-0.023) for {'alpha': 1e-07, 'hidden_layer_sizes': 8, 'max_iter': 1000, 'random_state': 1}
0.867 (+/-0.030) for {'alpha': 1e-07, 'hidden_layer_sizes': 8, 'max_iter': 2000, 'random_state': 0}
0.855 (+/-0.023) for {'alpha': 1e-07, 'hidden_layer_sizes': 8, 'max_iter': 2000, 'random_state': 1}
0.865 (+/-0.030) for {'alpha': 1e-07, 'hidden_layer_sizes': 9, 'max_iter': 1000, 'random_state': 0}
0.857 (+/-0.030) for {'alpha': 1e-07, 'hidden_layer_sizes': 9, 'max_iter': 1000, 'random_state': 1}
0.865 (+/-0.030) for {'alpha': 1e-07, 'hidden_layer_sizes': 9, 'max_iter': 2000, 'random_state': 0}
0.857 (+/-0.030) for {'alpha': 1e-07, 'hidden_layer_sizes': 9, 'max_iter': 2000, 'random_state': 1}
0.850 (+/-0.055) for {'alpha': 1e-07, 'hidden_layer_sizes': 10, 'max_iter': 1000, 'random_state': 0}
0.866 (+/-0.038) for {'alpha': 1e-07, 'hidden_layer_sizes': 10, 'max_iter': 1000, 'random_state': 1}
0.850 (+/-0.055) for {'alpha': 1e-07, 'hidden_layer_sizes': 10, 'max_iter': 2000, 'random_state': 0}
0.866 (+/-0.038) for {'alpha': 1e-07, 'hidden_layer_sizes': 10, 'max_iter': 2000, 'random_state': 1}
0.863 (+/-0.029) for {'alpha': 1e-07, 'hidden_layer_sizes': 11, 'max_iter': 1000, 'random_state': 0}
0.862 (+/-0.028) for {'alpha': 1e-07, 'hidden_layer_sizes': 11, 'max_iter': 1000, 'random_state': 1}
0.863 (+/-0.029) for {'alpha': 1e-07, 'hidden_layer_sizes': 11, 'max_iter': 2000, 'random_state': 0}
0.862 (+/-0.028) for {'alpha': 1e-07, 'hidden_layer_sizes': 11, 'max_iter': 2000, 'random_state': 1}
0.871 (+/-0.028) for {'alpha': 1e-07, 'hidden_layer_sizes': 12, 'max_iter': 1000, 'random_state': 0}
0.861 (+/-0.033) for {'alpha': 1e-07, 'hidden_layer_sizes': 12, 'max_iter': 1000, 'random_state': 1}
0.871 (+/-0.028) for {'alpha': 1e-07, 'hidden_layer_sizes': 12, 'max_iter': 2000, 'random_state': 0}
0.861 (+/-0.033) for {'alpha': 1e-07, 'hidden_layer_sizes': 12, 'max_iter': 2000, 'random_state': 1}
0.856 (+/-0.030) for {'alpha': 1e-07, 'hidden_layer_sizes': 13, 'max_iter': 1000, 'random_state': 0}
0.852 (+/-0.024) for {'alpha': 1e-07, 'hidden_layer_sizes': 13, 'max_iter': 1000, 'random_state': 1}
0.856 (+/-0.030) for {'alpha': 1e-07, 'hidden_layer_sizes': 13, 'max_iter': 2000, 'random_state': 0}
0.852 (+/-0.024) for {'alpha': 1e-07, 'hidden_layer_sizes': 13, 'max_iter': 2000, 'random_state': 1}
0.861 (+/-0.028) for {'alpha': 1e-07, 'hidden_layer_sizes': 14, 'max_iter': 1000, 'random_state': 0}
0.861 (+/-0.037) for {'alpha': 1e-07, 'hidden_layer_sizes': 14, 'max_iter': 1000, 'random_state': 1}
0.861 (+/-0.028) for {'alpha': 1e-07, 'hidden_layer_sizes': 14, 'max_iter': 2000, 'random_state': 0}
0.861 (+/-0.037) for {'alpha': 1e-07, 'hidden_layer_sizes': 14, 'max_iter': 2000, 'random_state': 1}
0.858 (+/-0.031) for {'alpha': 1e-08, 'hidden_layer_sizes': 5, 'max_iter': 1000, 'random_state': 0}
0.857 (+/-0.024) for {'alpha': 1e-08, 'hidden_layer_sizes': 5, 'max_iter': 1000, 'random_state': 1}
0.858 (+/-0.031) for {'alpha': 1e-08, 'hidden_layer_sizes': 5, 'max_iter': 2000, 'random_state': 0}
0.857 (+/-0.024) for {'alpha': 1e-08, 'hidden_layer_sizes': 5, 'max_iter': 2000, 'random_state': 1}
0.864 (+/-0.039) for {'alpha': 1e-08, 'hidden_layer_sizes': 6, 'max_iter': 1000, 'random_state': 0}
0.861 (+/-0.025) for {'alpha': 1e-08, 'hidden_layer_sizes': 6, 'max_iter': 1000, 'random_state': 1}
0.864 (+/-0.039) for {'alpha': 1e-08, 'hidden_layer_sizes': 6, 'max_iter': 2000, 'random_state': 0}
0.861 (+/-0.025) for {'alpha': 1e-08, 'hidden_layer_sizes': 6, 'max_iter': 2000, 'random_state': 1}
0.859 (+/-0.034) for {'alpha': 1e-08, 'hidden_layer_sizes': 7, 'max_iter': 1000, 'random_state': 0}
0.859 (+/-0.038) for {'alpha': 1e-08, 'hidden_layer_sizes': 7, 'max_iter': 1000, 'random_state': 1}
0.859 (+/-0.034) for {'alpha': 1e-08, 'hidden_layer_sizes': 7, 'max_iter': 2000, 'random_state': 0}
0.859 (+/-0.038) for {'alpha': 1e-08, 'hidden_layer_sizes': 7, 'max_iter': 2000, 'random_state': 1}
0.867 (+/-0.030) for {'alpha': 1e-08, 'hidden_layer_sizes': 8, 'max_iter': 1000, 'random_state': 0}
0.855 (+/-0.023) for {'alpha': 1e-08, 'hidden_layer_sizes': 8, 'max_iter': 1000, 'random_state': 1}
0.867 (+/-0.030) for {'alpha': 1e-08, 'hidden_layer_sizes': 8, 'max_iter': 2000, 'random_state': 0}
0.855 (+/-0.023) for {'alpha': 1e-08, 'hidden_layer_sizes': 8, 'max_iter': 2000, 'random_state': 1}
0.865 (+/-0.030) for {'alpha': 1e-08, 'hidden_layer_sizes': 9, 'max_iter': 1000, 'random_state': 0}
0.857 (+/-0.030) for {'alpha': 1e-08, 'hidden_layer_sizes': 9, 'max_iter': 1000, 'random_state': 1}
0.865 (+/-0.030) for {'alpha': 1e-08, 'hidden_layer_sizes': 9, 'max_iter': 2000, 'random_state': 0}
0.857 (+/-0.030) for {'alpha': 1e-08, 'hidden_layer_sizes': 9, 'max_iter': 2000, 'random_state': 1}
0.850 (+/-0.055) for {'alpha': 1e-08, 'hidden_layer_sizes': 10, 'max_iter': 1000, 'random_state': 0}
0.866 (+/-0.038) for {'alpha': 1e-08, 'hidden_layer_sizes': 10, 'max_iter': 1000, 'random_state': 1}
0.850 (+/-0.055) for {'alpha': 1e-08, 'hidden_layer_sizes': 10, 'max_iter': 2000, 'random_state': 0}
0.866 (+/-0.038) for {'alpha': 1e-08, 'hidden_layer_sizes': 10, 'max_iter': 2000, 'random_state': 1}
0.863 (+/-0.029) for {'alpha': 1e-08, 'hidden_layer_sizes': 11, 'max_iter': 1000, 'random_state': 0}
0.862 (+/-0.028) for {'alpha': 1e-08, 'hidden_layer_sizes': 11, 'max_iter': 1000, 'random_state': 1}
0.863 (+/-0.029) for {'alpha': 1e-08, 'hidden_layer_sizes': 11, 'max_iter': 2000, 'random_state': 0}
0.862 (+/-0.028) for {'alpha': 1e-08, 'hidden_layer_sizes': 11, 'max_iter': 2000, 'random_state': 1}
0.871 (+/-0.028) for {'alpha': 1e-08, 'hidden_layer_sizes': 12, 'max_iter': 1000, 'random_state': 0}
0.861 (+/-0.033) for {'alpha': 1e-08, 'hidden_layer_sizes': 12, 'max_iter': 1000, 'random_state': 1}
0.871 (+/-0.028) for {'alpha': 1e-08, 'hidden_layer_sizes': 12, 'max_iter': 2000, 'random_state': 0}
0.861 (+/-0.033) for {'alpha': 1e-08, 'hidden_layer_sizes': 12, 'max_iter': 2000, 'random_state': 1}
0.856 (+/-0.030) for {'alpha': 1e-08, 'hidden_layer_sizes': 13, 'max_iter': 1000, 'random_state': 0}
0.852 (+/-0.024) for {'alpha': 1e-08, 'hidden_layer_sizes': 13, 'max_iter': 1000, 'random_state': 1}
0.856 (+/-0.030) for {'alpha': 1e-08, 'hidden_layer_sizes': 13, 'max_iter': 2000, 'random_state': 0}
0.852 (+/-0.024) for {'alpha': 1e-08, 'hidden_layer_sizes': 13, 'max_iter': 2000, 'random_state': 1}
0.860 (+/-0.024) for {'alpha': 1e-08, 'hidden_layer_sizes': 14, 'max_iter': 1000, 'random_state': 0}
0.861 (+/-0.037) for {'alpha': 1e-08, 'hidden_layer_sizes': 14, 'max_iter': 1000, 'random_state': 1}
0.860 (+/-0.024) for {'alpha': 1e-08, 'hidden_layer_sizes': 14, 'max_iter': 2000, 'random_state': 0}
0.861 (+/-0.037) for {'alpha': 1e-08, 'hidden_layer_sizes': 14, 'max_iter': 2000, 'random_state': 1}
0.858 (+/-0.031) for {'alpha': 1e-09, 'hidden_layer_sizes': 5, 'max_iter': 1000, 'random_state': 0}
0.857 (+/-0.024) for {'alpha': 1e-09, 'hidden_layer_sizes': 5, 'max_iter': 1000, 'random_state': 1}
0.858 (+/-0.031) for {'alpha': 1e-09, 'hidden_layer_sizes': 5, 'max_iter': 2000, 'random_state': 0}
0.857 (+/-0.024) for {'alpha': 1e-09, 'hidden_layer_sizes': 5, 'max_iter': 2000, 'random_state': 1}
0.867 (+/-0.034) for {'alpha': 1e-09, 'hidden_layer_sizes': 6, 'max_iter': 1000, 'random_state': 0}
0.861 (+/-0.025) for {'alpha': 1e-09, 'hidden_layer_sizes': 6, 'max_iter': 1000, 'random_state': 1}
0.867 (+/-0.034) for {'alpha': 1e-09, 'hidden_layer_sizes': 6, 'max_iter': 2000, 'random_state': 0}
0.861 (+/-0.025) for {'alpha': 1e-09, 'hidden_layer_sizes': 6, 'max_iter': 2000, 'random_state': 1}
0.859 (+/-0.034) for {'alpha': 1e-09, 'hidden_layer_sizes': 7, 'max_iter': 1000, 'random_state': 0}
0.859 (+/-0.038) for {'alpha': 1e-09, 'hidden_layer_sizes': 7, 'max_iter': 1000, 'random_state': 1}
0.859 (+/-0.034) for {'alpha': 1e-09, 'hidden_layer_sizes': 7, 'max_iter': 2000, 'random_state': 0}
0.859 (+/-0.038) for {'alpha': 1e-09, 'hidden_layer_sizes': 7, 'max_iter': 2000, 'random_state': 1}
0.867 (+/-0.030) for {'alpha': 1e-09, 'hidden_layer_sizes': 8, 'max_iter': 1000, 'random_state': 0}
0.855 (+/-0.023) for {'alpha': 1e-09, 'hidden_layer_sizes': 8, 'max_iter': 1000, 'random_state': 1}
0.867 (+/-0.030) for {'alpha': 1e-09, 'hidden_layer_sizes': 8, 'max_iter': 2000, 'random_state': 0}
0.855 (+/-0.023) for {'alpha': 1e-09, 'hidden_layer_sizes': 8, 'max_iter': 2000, 'random_state': 1}
0.865 (+/-0.030) for {'alpha': 1e-09, 'hidden_layer_sizes': 9, 'max_iter': 1000, 'random_state': 0}
0.857 (+/-0.030) for {'alpha': 1e-09, 'hidden_layer_sizes': 9, 'max_iter': 1000, 'random_state': 1}
0.865 (+/-0.030) for {'alpha': 1e-09, 'hidden_layer_sizes': 9, 'max_iter': 2000, 'random_state': 0}
0.857 (+/-0.030) for {'alpha': 1e-09, 'hidden_layer_sizes': 9, 'max_iter': 2000, 'random_state': 1}
0.850 (+/-0.055) for {'alpha': 1e-09, 'hidden_layer_sizes': 10, 'max_iter': 1000, 'random_state': 0}
0.866 (+/-0.038) for {'alpha': 1e-09, 'hidden_layer_sizes': 10, 'max_iter': 1000, 'random_state': 1}
0.850 (+/-0.055) for {'alpha': 1e-09, 'hidden_layer_sizes': 10, 'max_iter': 2000, 'random_state': 0}
0.866 (+/-0.038) for {'alpha': 1e-09, 'hidden_layer_sizes': 10, 'max_iter': 2000, 'random_state': 1}
0.863 (+/-0.029) for {'alpha': 1e-09, 'hidden_layer_sizes': 11, 'max_iter': 1000, 'random_state': 0}
0.862 (+/-0.028) for {'alpha': 1e-09, 'hidden_layer_sizes': 11, 'max_iter': 1000, 'random_state': 1}
0.863 (+/-0.029) for {'alpha': 1e-09, 'hidden_layer_sizes': 11, 'max_iter': 2000, 'random_state': 0}
0.862 (+/-0.028) for {'alpha': 1e-09, 'hidden_layer_sizes': 11, 'max_iter': 2000, 'random_state': 1}
0.871 (+/-0.028) for {'alpha': 1e-09, 'hidden_layer_sizes': 12, 'max_iter': 1000, 'random_state': 0}
0.861 (+/-0.033) for {'alpha': 1e-09, 'hidden_layer_sizes': 12, 'max_iter': 1000, 'random_state': 1}
0.871 (+/-0.028) for {'alpha': 1e-09, 'hidden_layer_sizes': 12, 'max_iter': 2000, 'random_state': 0}
0.861 (+/-0.033) for {'alpha': 1e-09, 'hidden_layer_sizes': 12, 'max_iter': 2000, 'random_state': 1}
0.856 (+/-0.030) for {'alpha': 1e-09, 'hidden_layer_sizes': 13, 'max_iter': 1000, 'random_state': 0}
0.852 (+/-0.024) for {'alpha': 1e-09, 'hidden_layer_sizes': 13, 'max_iter': 1000, 'random_state': 1}
0.856 (+/-0.030) for {'alpha': 1e-09, 'hidden_layer_sizes': 13, 'max_iter': 2000, 'random_state': 0}
0.852 (+/-0.024) for {'alpha': 1e-09, 'hidden_layer_sizes': 13, 'max_iter': 2000, 'random_state': 1}
0.860 (+/-0.024) for {'alpha': 1e-09, 'hidden_layer_sizes': 14, 'max_iter': 1000, 'random_state': 0}
0.861 (+/-0.037) for {'alpha': 1e-09, 'hidden_layer_sizes': 14, 'max_iter': 1000, 'random_state': 1}
0.860 (+/-0.024) for {'alpha': 1e-09, 'hidden_layer_sizes': 14, 'max_iter': 2000, 'random_state': 0}
0.861 (+/-0.037) for {'alpha': 1e-09, 'hidden_layer_sizes': 14, 'max_iter': 2000, 'random_state': 1}

Detailed classification report:

The model is trained on the full development set.
The scores are computed on the full evaluation set.

Final Performance on Test Set
MSE: 0.017877094972067038

Accuracy Score: 98.2122905027933%

F1 Score: 0.8980891719745222

              precision    recall  f1-score   support

           0       0.99      0.99      0.99      1626
           1       0.94      0.86      0.90       164

   micro avg       0.98      0.98      0.98      1790
   macro avg       0.96      0.93      0.94      1790
weighted avg       0.98      0.98      0.98      1790


